"theater","date","not_guilty","guilty"
"Badisches Staatstheater Karlsruhe",2016-09-29,153,170
"Badisches Staatstheater Karlsruhe",2016-10-02,146,146
"Badisches Staatstheater Karlsruhe",2016-10-05,174,134
"Badisches Staatstheater Karlsruhe",2016-10-16,148,151
"Badisches Staatstheater Karlsruhe",2016-10-28,139,156
"Badisches Staatstheater Karlsruhe",2016-11-04,122,154
"Badisches Staatstheater Karlsruhe",2016-11-12,155,173
"Badisches Staatstheater Karlsruhe",2016-11-18,180,125
"Badisches Staatstheater Karlsruhe",2016-11-19,50,53
"Badisches Staatstheater Karlsruhe",2016-12-01,180,121
"Badisches Staatstheater Karlsruhe",2016-12-08,176,129
"Badisches Staatstheater Karlsruhe",2016-12-23,182,116
"Badisches Staatstheater Karlsruhe",2016-12-30,155,176
"Badisches Staatstheater Karlsruhe",2017-01-07,170,139
"Badisches Staatstheater Karlsruhe",2017-01-15,186,122
"Badisches Staatstheater Karlsruhe",2017-01-18,151,141
"Badisches Staatstheater Karlsruhe",2017-01-26,150,127
"Badisches Staatstheater Karlsruhe",2017-02-02,208,89
"Badisches Staatstheater Karlsruhe",2017-02-16,171,93
"Badisches Staatstheater Karlsruhe",2017-03-10,162,120
"Badisches Staatstheater Karlsruhe",2017-03-12,161,99
"Badisches Staatstheater Karlsruhe",2017-03-25,170,154
"Badisches Staatstheater Karlsruhe",2017-04-30,138,128
"Badisches Staatstheater Karlsruhe",2017-05-09,174,63
"Badisches Staatstheater Karlsruhe",2017-05-10,114,64
"Badisches Staatstheater Karlsruhe",2017-05-16,212,89
"Badisches Staatstheater Karlsruhe",2017-06-09,152,106
"Badisches Staatstheater Karlsruhe",2017-06-18,137,106
"Badisches Staatstheater Karlsruhe",2017-07-02,91,37
"Badisches Staatstheater Karlsruhe",2017-07-16,88,88
"Badisches Staatstheater Karlsruhe",2017-09-24,66,49
"Badisches Staatstheater Karlsruhe",2017-10-14,84,64
"Beijing National Centre for Performing Arts (NCPA)",2017-06-21,126,128
"Beijing National Centre for Performing Arts (NCPA)",2017-06-22,74,88
"Beijing National Centre for Performing Arts (NCPA)",2017-06-24,94,106
"Beijing National Centre for Performing Arts (NCPA)",2017-06-25,139,133
"Beijing National Centre for Performing Arts (NCPA)",2017-06-26,132,131
"BerlinerZentralTheater",2017-05-20,14,28
"BerlinerZentralTheater",2017-05-21,24,17
"BerlinerZentralTheater",2017-06-24,21,22
"BerlinerZentralTheater",2017-06-25,18,17
"BerlinerZentralTheater",2017-07-01,24,18
"BerlinerZentralTheater",2017-07-02,15,23
"BerlinerZentralTheater",2017-07-02,21,15
"Bremer Kriminaltheater",2016-05-17,47,43
"Bremer Kriminaltheater",2016-05-18,24,36
"Bremer Kriminaltheater",2016-05-19,139,139
"Bremer Kriminaltheater",2016-05-22,66,64
"Bremer Kriminaltheater",2016-06-14,44,27
"Bremer Kriminaltheater",2016-06-15,41,40
"Bremer Kriminaltheater",2016-06-17,73,42
"Bremer Kriminaltheater",2016-06-18,57,50
"Bremer Kriminaltheater",2016-06-19,63,57
"Bremer Kriminaltheater",2016-09-16,39,26
"Bremer Kriminaltheater",2016-09-17,47,48
"Bremer Kriminaltheater",2016-09-18,41,26
"Bremer Kriminaltheater",2016-10-20,20,13
"Bremer Kriminaltheater",2016-10-21,35,29
"Bremer Kriminaltheater",2016-10-23,33,34
"Bremer Kriminaltheater",2016-11-02,30,10
"Bremer Kriminaltheater",2016-11-03,32,16
"Bremer Kriminaltheater",2016-11-05,17,19
"Bremer Kriminaltheater",2016-11-17,25,18
"Bremer Kriminaltheater",2016-12-08,16,33
"Bremer Kriminaltheater",2016-12-09,26,34
"Bremer Kriminaltheater",2016-12-10,21,16
"Bremer Kriminaltheater",2017-01-20,72,28
"Bremer Kriminaltheater",2017-01-21,35,14
"Bremer Kriminaltheater",2017-01-22,17,12
"Bremer Kriminaltheater",2017-01-27,15,15
"Bremer Kriminaltheater",2017-01-28,23,22
"Bremer Kriminaltheater",2017-01-29,25,18
"Bremer Kriminaltheater",2017-02-10,50,48
"Bremer Kriminaltheater",2017-03-23,35,20
"Bremer Kriminaltheater",2017-10-01,45,47
"BüchnerBühne Riedstadt",2017-04-28,12,10
"BüchnerBühne Riedstadt",2017-04-29,12,20
"BüchnerBühne Riedstadt",2017-09-15,11,17
"BüchnerBühne Riedstadt",2017-09-16,8,11
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-15,147,61
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-16,107,47
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-17,99,43
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-18,142,70
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-20,101,62
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-21,147,69
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-22,126,65
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-22,171,35
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-23,106,74
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-24,121,106
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-25,133,70
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-27,95,71
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-28,134,81
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-28,180,25
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-30,116,88
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-01,137,94
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-02,151,84
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-04,123,88
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-05,128,95
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-05,121,38
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-06,170,65
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-07,108,63
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-07,162,30
